prioridad,fecha_chat,dias_transcurridos,tipo_cliente,productos_solicitados,intenciones,resumen_visitante,num_mensajes
🟡 MEDIA,2026-01-18 17:54:21,29,Contratista/Constructor,No especificado,"busca_producto, contratista",Quiero ayuda/consejo para mi obra,5
🟡 MEDIA,2026-01-18 05:35:43,30,Comprador de Volumen,No especificado,"busca_producto, cotizacion_mayoreo",Necesito una cotización de mayoreo | 39 barrote de 2x4 de 12 pies y 39 barrotes de 2x4 de 14 pies,6
🟡 MEDIA,2026-01-18 03:27:11,30,Contratista/Constructor,No especificado,"busca_producto, contratista",Quiero ayuda/consejo para mi obra,3
🟡 MEDIA,2026-01-17 22:23:45,30,Contratista/Constructor,No especificado,"busca_producto, contratista",Quiero ayuda/consejo para mi obra,3
🟡 MEDIA,2026-01-17 21:33:31,30,Contratista/Constructor,No especificado,"busca_producto, contratista",Quiero ayuda/consejo para mi obra,3
🟡 MEDIA,2026-01-17 21:11:31,30,Contratista/Constructor,No especificado,"busca_producto, contratista",Quiero ayuda/consejo para mi obra,3
🟡 MEDIA,2026-01-17 16:07:17,30,Contratista/Constructor,No especificado,"busca_producto, contratista",Quiero ayuda/consejo para mi obra,3
🟡 MEDIA,2026-01-17 04:51:24,31,Contratista/Constructor,Arena/Grava,"busca_producto, contratista",Quiero ayuda/consejo para mi obraeste carton arenado rojo #90 necesito antorcha para pegarlo ?,5
🟡 MEDIA,2026-01-14 18:38:41,33,Comprador de Volumen,No especificado,"busca_producto, cotizacion_mayoreo",Necesito una cotización de mayoreo,5
🟡 MEDIA,2026-01-13 21:20:05,34,Comprador de Volumen,Impermeabilizante,"busca_producto, cotizacion_mayoreo",Necesito una cotización de mayoreo | Me interesa asfalto en frío en que Presio lo tiene y q marcas | No tengo ala mano en correo de la empresa,8
🟡 MEDIA,2026-01-13 16:39:55,34,Comprador de Volumen,No especificado,"busca_producto, cotizacion_mayoreo",Necesito una cotización de mayoreo | cotizacion,6
🟡 MEDIA,2026-01-12 19:36:00,35,Comprador de Volumen,No especificado,"busca_producto, cotizacion_mayoreo",Necesito una cotización de mayoreo | motor para coler 1/3 lo tendras en tienda de lazaro cardenas | ?? | y que medida es la barra | ?? | lo tienes en lazaro cardenas,15
🟡 MEDIA,2026-01-12 05:04:06,36,Comprador de Volumen,No especificado,"busca_producto, cotizacion_mayoreo",Necesito una cotización de mayoreo | Lamina de de calibre 26,7
🟡 MEDIA,2026-01-07 23:14:54,40,Comprador de Volumen,Cemento/Concreto,"busca_producto, cotizacion_mayoreo",Necesito una cotización de mayoreo | 200 SACOS DE CEMENTO | POR ESTE MEDIO,8
🟡 MEDIA,2026-01-07 20:59:23,40,Comprador de Volumen,No especificado,"busca_producto, cotizacion_mayoreo",Necesito una cotización de mayoreo | Hoja de durock | Número donde pueda marcar,8
🟡 MEDIA,2026-01-07 20:39:18,40,Comprador de Volumen,No especificado,"busca_producto, cotizacion_mayoreo",Necesito una cotización de mayoreo | Buen día de esto,5
🟡 MEDIA,2026-01-06 02:51:40,42,Comprador de Volumen,Ferretería,"busca_producto, cotizacion_mayoreo, problema_sitio",Necesito una cotización de mayoreo | bisagra | tengo la imagen | pero  no puedo enviarla por aquí,9
🟡 MEDIA,2025-12-30 01:07:07,49,Comprador de Volumen,No especificado,"busca_producto, cotizacion_mayoreo, precio",Necesito una cotización de mayoreo | El precio de un escusado,6
🟡 MEDIA,2025-12-29 20:36:47,49,Comprador de Volumen,Cemento/Concreto,"busca_producto, cotizacion_mayoreo",Necesito una cotización de mayoreo | Cemento,5
🟡 MEDIA,2025-12-26 22:51:33,52,Comprador de Volumen,No especificado,"busca_producto, cotizacion_mayoreo",Necesito una cotización de mayoreo | Barrotes,6
🟡 MEDIA,2025-12-24 01:42:18,55,Comprador de Volumen,No especificado,"busca_producto, cotizacion_mayoreo",Necesito una cotización de mayoreo | Contrupanel,7
🟡 MEDIA,2025-12-20 08:12:39,58,Comprador de Volumen,No especificado,"busca_producto, cotizacion_mayoreo",Necesito una cotización de mayoreo | Lozeta de 60 x 60,6
🟡 MEDIA,2025-12-19 18:02:26,59,Comprador de Volumen,Cemento/Concreto,"busca_producto, cotizacion_mayoreo",Necesito una cotización de mayoreo | Cemento,6
🟡 MEDIA,2025-12-19 00:13:52,60,Comprador de Volumen,No especificado,"busca_producto, cotizacion_mayoreo",Necesito una cotización de mayoreo | Costó de caja electrónica,6
🟡 MEDIA,2025-12-18 21:19:57,60,Comprador de Volumen,Plomería,"busca_producto, cotizacion_mayoreo",Necesito una cotización de mayoreo | 88 pies de tubería de 3/4 de cpvc | Me lo puede cotizar,6
🟡 MEDIA,2025-12-17 22:57:41,61,Comprador de Volumen,Plomería,"busca_producto, cotizacion_mayoreo",Necesito una cotización de mayoreo | Tubo steel de 1/2 pulgada | 3 piezas | Jorgevazquez8790@ Gmail. Com,10
🟡 MEDIA,2025-12-17 12:49:21,61,Contratista/Constructor,No especificado,"busca_producto, contratista",Quiero ayuda/consejo para mi obra,8
🟡 MEDIA,2025-12-15 19:06:29,63,Comprador de Volumen,No especificado,"busca_producto, cotizacion_mayoreo",Necesito una cotización de mayoreo | Necesito unos estantes,6
🟡 MEDIA,2025-12-12 19:21:17,66,Comprador de Volumen,No especificado,"busca_producto, cotizacion_mayoreo",Necesito una cotización de mayoreo | HOLA | SOLO PREGUNTAR SI HACEN ENVIOS A TIJUANA | MARY,10
🟡 MEDIA,2025-12-11 23:41:58,67,Contratista/Constructor,No especificado,"busca_producto, contratista, cotizacion_mayoreo, solo_viendo",Quiero ayuda/consejo para mi obra | Solo estoy viendo | Necesito una cotización de mayoreo | Necesito una cotización de mayoreo | Necesito una cotización de mayoreo | Necesito una cotización de mayoreo,18
🟡 MEDIA,2025-12-10 23:44:02,68,Comprador de Volumen,No especificado,"busca_producto, cotizacion_mayoreo",Necesito una cotización de mayoreo,5
🟡 MEDIA,2025-12-09 05:15:15,70,Comprador de Volumen,Cemento/Concreto,"busca_producto, cotizacion_mayoreo",Necesito una cotización de mayoreo | Cemento,6
🟡 MEDIA,2025-12-07 23:22:20,71,Mayorista/Distribuidor,"Cemento/Concreto, Varilla/Acero","busca_producto, cotizacion_mayoreo",Necesito una cotización de mayoreo | Malla para concreto | Codo,7
🟡 MEDIA,2025-12-04 19:10:38,74,Comprador de Volumen,No especificado,"busca_producto, cotizacion_mayoreo",Necesito una cotización de mayoreo | me puedes enviar esa cotizacion al correo | me puedes enviar esa cotización al correo,8
🟡 MEDIA,2025-12-04 04:50:49,75,Comprador de Volumen,Cemento/Concreto,"busca_producto, cotizacion_mayoreo",Necesito una cotización de mayoreo | Cemento,6
🟡 MEDIA,2025-12-04 00:53:08,75,Comprador de Volumen,No especificado,"busca_producto, cotizacion_mayoreo, precio",Necesito una cotización de mayoreo | cubeta de imperbilisante precio,6
🟡 MEDIA,2025-12-02 04:10:58,77,Comprador de Volumen,No especificado,"busca_producto, cotizacion_mayoreo",Necesito una cotización de mayoreo,5
🟡 MEDIA,2025-12-02 00:10:34,77,Comprador de Volumen,No especificado,"busca_producto, cotizacion_mayoreo",Necesito una cotización de mayoreo,5
🟡 MEDIA,2025-12-01 21:09:03,77,Comprador de Volumen,No especificado,"busca_producto, cotizacion_mayoreo, precio",Necesito una cotización de mayoreo | Precio de la hoja de from de 2 pulgadas,6
🟡 MEDIA,2025-11-30 01:28:57,79,Comprador de Volumen,No especificado,"busca_producto, cotizacion_mayoreo",Necesito una cotización de mayoreo | hola tienes promocion en impac 5000,7
🟡 MEDIA,2025-11-29 18:02:40,79,Comprador de Volumen,No especificado,"busca_producto, cotizacion_mayoreo",Necesito una cotización de mayoreo | Mini split 2 ton | Frikko,7
🟡 MEDIA,2025-11-29 15:33:36,79,Comprador de Volumen,Cemento/Concreto,"busca_producto, cotizacion_mayoreo",Necesito una cotización de mayoreo | Cemento emplaste,7
🟡 MEDIA,2025-11-29 15:09:13,79,Comprador de Volumen,Madera,"busca_producto, cotizacion_mayoreo",Necesito una cotización de mayoreo | Busco poste de 8' 3⅝ | Por aquí,8
🟡 MEDIA,2025-11-28 21:14:55,80,Comprador de Volumen,No especificado,"busca_producto, cotizacion_mayoreo",Necesito una cotización de mayoreo | Buenas tardes venden adhesivo crest blanco?,6
🟡 MEDIA,2025-11-25 19:52:19,83,Comprador de Volumen,No especificado,"busca_producto, cotizacion_mayoreo",Necesito una cotización de mayoreo | 260 bloque de 5 y 20 medios,6
🟡 MEDIA,2025-11-24 21:41:19,84,Comprador de Volumen,No especificado,"busca_producto, cotizacion_mayoreo",Necesito una cotización de mayoreo | varios productos,6
🟡 MEDIA,2025-11-21 18:35:52,87,Mayorista/Distribuidor,"Cemento/Concreto, Varilla/Acero","busca_producto, cotizacion_mayoreo",Necesito una cotización de mayoreo | 400blok 33 varillas numero3 35 sacos de cemento,6
🟡 MEDIA,2025-11-21 00:25:41,88,Comprador de Volumen,No especificado,"busca_producto, cotizacion_mayoreo",Necesito una cotización de mayoreo | Fotos de locetas económicas,6
🟡 MEDIA,2025-11-20 18:40:12,88,Comprador de Volumen,No especificado,"busca_producto, cotizacion_mayoreo",Necesito una cotización de mayoreo,5
🟡 MEDIA,2025-11-20 00:14:14,89,Comprador de Volumen,No especificado,"busca_producto, cotizacion_mayoreo",Necesito una cotización de mayoreo | Tienen algún paquete de bloques,5
🟡 MEDIA,2025-11-19 23:16:29,89,Comprador de Volumen,No especificado,"busca_producto, cotizacion_mayoreo, precio, solo_viendo",Solo estoy viendo | Necesito una cotización de mayoreo | Cuánto vale el saco de marmolina,12
🟡 MEDIA,2025-11-19 20:58:21,89,Contratista/Constructor,Arena/Grava,"busca_producto, contratista, problema_sitio","quiero saber si tienen sacos de arena | Quiero ayuda/consejo para mi obra | Tengo problemas con el sitio | tienen sacos de arena? | Calificación: 
pesimo servicio",21
🟡 MEDIA,2025-11-18 17:49:37,90,Contratista/Constructor,No especificado,"busca_producto, contratista",Quiero ayuda/consejo para mi obra,8
🟡 MEDIA,2025-11-18 15:23:42,90,Comprador de Volumen,No especificado,"busca_producto, cotizacion_mayoreo",Necesito una cotización de mayoreo | Si | Me puedes dar teléfono en Mexicali,9
🟡 MEDIA,2025-11-17 16:45:32,91,Comprador de Volumen,Madera,"busca_producto, cotizacion_mayoreo",Necesito una cotización de mayoreo | 7 hojas de yeso de 1/27 postes de 3 5/82 canaletas de 3 5/8 calibre 25 | ??,7
🟡 MEDIA,2025-11-17 16:41:05,91,Comprador de Volumen,No especificado,"busca_producto, cotizacion_mayoreo",Necesito una cotización de mayoreo | Meses sin intereses,6
🟡 MEDIA,2025-11-16 05:18:35,93,Comprador de Volumen,No especificado,"busca_producto, cotizacion_mayoreo",Necesito una cotización de mayoreo | kit de instalacion para wc,7
🟡 MEDIA,2025-11-16 02:27:55,93,Comprador de Volumen,No especificado,"busca_producto, cotizacion_mayoreo",Necesito una cotización de mayoreo | Paquetes de bloque | Por aqui,8
🟡 MEDIA,2025-11-15 22:34:47,93,Comprador de Volumen,No especificado,"busca_producto, cotizacion_mayoreo",Necesito una cotización de mayoreo | Cotización barda 7 mtros,6
🟡 MEDIA,2025-11-15 21:00:41,93,Comprador de Volumen,No especificado,"busca_producto, cotizacion_mayoreo",Necesito una cotización de mayoreo | Lámina acanalada c-26 de 20' | 11 laminas de 20' y 11 laminas de 14',9
🟡 MEDIA,2025-11-15 04:57:16,94,Comprador de Volumen,Pisos/Loseta,"busca_producto, cotizacion_mayoreo",Necesito una cotización de mayoreo | Losetas de patio | Puede mandar fotos de losetas,8
🟡 MEDIA,2025-11-14 18:31:24,94,Prospecto General,Cemento/Concreto,"busca_producto, precio, problema_sitio",Tengo problemas con el sitio | Quiero saber el precio de cemento,8
🟡 MEDIA,2025-11-14 17:55:15,94,Comprador de Volumen,No especificado,"busca_producto, cotizacion_mayoreo",Necesito una cotización de mayoreo,5
🟡 MEDIA,2025-11-14 17:05:44,94,Prospecto General,Plomería,"busca_producto, precio, problema_sitio",Tengo problemas con el sitio | Necesito precio de llave para fregadero,8
🟡 MEDIA,2025-11-13 23:21:12,95,Comprador de Volumen,No especificado,"busca_producto, cotizacion_mayoreo",Necesito una cotización de mayoreo | Hola b tardes | Quiero saber si ustdess manejan. Guarda polvo para puertas,8
🟡 MEDIA,2025-11-13 16:42:35,95,Comprador de Volumen,No especificado,"busca_producto, cotizacion_mayoreo, precio",Necesito una cotización de mayoreo | Ok una soldadora que precio tiene,6
🟡 MEDIA,2025-11-12 01:59:13,97,Comprador de Volumen,No especificado,"busca_producto, cotizacion_mayoreo",Necesito una cotización de mayoreo | Plafon,6
🟡 MEDIA,2025-11-11 21:16:49,97,Comprador de Volumen,Herramientas,"busca_producto, cotizacion_mayoreo",Necesito una cotización de mayoreo | Nesesito saber presio de rotomartillo Hilt t2 | Puede ser por war sap,8
🟡 MEDIA,2025-11-11 18:20:09,97,Comprador de Volumen,No especificado,"busca_producto, cotizacion_mayoreo, precio",Necesito una cotización de mayoreo | Precio de blok,6
🟡 MEDIA,2025-11-11 17:31:31,97,Comprador de Volumen,No especificado,"busca_producto, cotizacion_mayoreo",Necesito una cotización de mayoreo | Permitame | Notiene wap,8
🟡 MEDIA,2025-11-08 05:13:37,101,Comprador de Volumen,No especificado,"busca_producto, cotizacion_mayoreo",Necesito una cotización de mayoreo | Tapas de PVC de 6 pulgadas,6
🟡 MEDIA,2025-11-07 14:25:32,101,Comprador de Volumen,No especificado,"busca_producto, cotizacion_mayoreo",Necesito una cotización de mayoreo | Material para construir una barda de 4  a 5 metros,6
🟡 MEDIA,2025-11-06 00:39:41,103,Comprador de Volumen,Pintura,"busca_producto, cotizacion_mayoreo","Necesito una cotización de mayoreo | Buen día | Tienes rodillo con maneral de 3"" | No tengo correo | Me vas ayudar | Para que te ponen si no sirves",14
🟡 MEDIA,2025-11-04 16:32:35,104,Comprador de Volumen,Electricidad,"busca_producto, cotizacion_mayoreo",Necesito una cotización de mayoreo | Pegamento de contacto | Cuánto es lo mínimo que debo comprar | Envíame la información vía WhatsApp | 9993683981,13
🟡 MEDIA,2025-11-04 03:31:43,105,Comprador de Volumen,No especificado,"busca_producto, cotizacion_mayoreo",Necesito una cotización de mayoreo | Nesesito un dado para vástago de regadera,5
🟡 MEDIA,2025-11-03 19:26:02,105,Comprador de Volumen,No especificado,"busca_producto, cotizacion_mayoreo",Necesito una cotización de mayoreo | TERMÓMETRO PARA MEDICION TEMPERATURA DEL SUELO,6
🟡 MEDIA,2025-10-31 20:39:15,108,Comprador de Volumen,Cemento/Concreto,"busca_producto, cotizacion_mayoreo",Necesito una cotización de mayoreo | en cuanto anda el block | ?,8
🟡 MEDIA,2025-10-30 00:47:22,110,Comprador de Volumen,No especificado,"busca_producto, cotizacion_mayoreo",Necesito una cotización de mayoreo | Galón de Resistol 5000 | ferretera_industrial @ hotmail.com,8
🟡 MEDIA,2025-10-24 21:08:37,115,Comprador de Volumen,No especificado,"busca_producto, cotizacion_mayoreo, precio",Necesito una cotización de mayoreo | Precio break sencillo # 20,6
🟡 MEDIA,2025-10-22 20:55:00,117,Comprador de Volumen,No especificado,"busca_producto, cotizacion_mayoreo",Necesito una cotización de mayoreo,5
🟡 MEDIA,2025-10-21 00:50:11,119,Comprador de Volumen,No especificado,"busca_producto, cotizacion_mayoreo",Necesito una cotización de mayoreo,5
🟡 MEDIA,2025-10-20 04:45:53,120,Comprador de Volumen,Pisos/Loseta,"busca_producto, cotizacion_mayoreo",Necesito una cotización de mayoreo | Loseta,5
🟡 MEDIA,2025-10-16 20:57:56,123,Comprador de Volumen,No especificado,"busca_producto, cotizacion_mayoreo",Necesito una cotización de mayoreo | Necesito impermeabilizar un techo,6
